
0.7 coefvel 62 alphaweight %79.21

Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 1
Collision occured!  ||  Avg execution time per cycle is: 0.0007
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 2
Goal Reached!  Total distance traveled is: 21.8605 || Avg execution time per cycle is: 0.000644351
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 3
Collision occured!  ||  Avg execution time per cycle is: 0.000631579
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 4
Goal Reached!  Total distance traveled is: 21.8872 || Avg execution time per cycle is: 0.000609053
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 5
Goal Reached!  Total distance traveled is: 21.9384 || Avg execution time per cycle is: 0.000619433
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 6
Goal Reached!  Total distance traveled is: 21.9052 || Avg execution time per cycle is: 0.000634146
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 7
Goal Reached!  Total distance traveled is: 21.9885 || Avg execution time per cycle is: 0.000588235
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 8
Goal Reached!  Total distance traveled is: 22.0234 || Avg execution time per cycle is: 0.000641667
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 9
Collision occured!  ||  Avg execution time per cycle is: 0.00067033
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 10
Goal Reached!  Total distance traveled is: 22.0328 || Avg execution time per cycle is: 0.000608871
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 11
Goal Reached!  Total distance traveled is: 21.9828 || Avg execution time per cycle is: 0.000568465
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 12
Collision occured!  ||  Avg execution time per cycle is: 0.000869565
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 13
Goal Reached!  Total distance traveled is: 22.1548 || Avg execution time per cycle is: 0.000616
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 14
Goal Reached!  Total distance traveled is: 21.9457 || Avg execution time per cycle is: 0.000610169
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 15
Goal Reached!  Total distance traveled is: 21.7177 || Avg execution time per cycle is: 0.000566964
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 16
Collision occured!  ||  Avg execution time per cycle is: 0.000664
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 17
Collision occured!  ||  Avg execution time per cycle is: 0.000713115
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 18
Goal Reached!  Total distance traveled is: 22.0136 || Avg execution time per cycle is: 0.000673228
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 19
Goal Reached!  Total distance traveled is: 21.8103 || Avg execution time per cycle is: 0.000621145
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 20
Goal Reached!  Total distance traveled is: 22.2305 || Avg execution time per cycle is: 0.000630996
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 21
Goal Reached!  Total distance traveled is: 21.8691 || Avg execution time per cycle is: 0.000643478
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 22
Goal Reached!  Total distance traveled is: 22.0674 || Avg execution time per cycle is: 0.00063035
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 23
Goal Reached!  Total distance traveled is: 22.0741 || Avg execution time per cycle is: 0.000637037
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 24
Goal Reached!  Total distance traveled is: 21.9864 || Avg execution time per cycle is: 0.000639485
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 25
Goal Reached!  Total distance traveled is: 21.7539 || Avg execution time per cycle is: 0.000633929
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 26
Goal Reached!  Total distance traveled is: 21.9217 || Avg execution time per cycle is: 0.000592593
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 27
Goal Reached!  Total distance traveled is: 21.9618 || Avg execution time per cycle is: 0.000608
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 28
Goal Reached!  Total distance traveled is: 21.8935 || Avg execution time per cycle is: 0.000587234
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 29
Goal Reached!  Total distance traveled is: 22.0885 || Avg execution time per cycle is: 0.000614232
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 30
Goal Reached!  Total distance traveled is: 21.9682 || Avg execution time per cycle is: 0.000622047
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 31
Goal Reached!  Total distance traveled is: 21.8662 || Avg execution time per cycle is: 0.000556054
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 32
Collision occured!  ||  Avg execution time per cycle is: 0.000746032
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 33
Goal Reached!  Total distance traveled is: 21.8726 || Avg execution time per cycle is: 0.000555556
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 34
Goal Reached!  Total distance traveled is: 21.8246 || Avg execution time per cycle is: 0.000609442
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 35
Goal Reached!  Total distance traveled is: 22.1428 || Avg execution time per cycle is: 0.000592
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 36
Goal Reached!  Total distance traveled is: 22.0912 || Avg execution time per cycle is: 0.000605469
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 37
Goal Reached!  Total distance traveled is: 22.1109 || Avg execution time per cycle is: 0.000632184
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 38
Goal Reached!  Total distance traveled is: 21.8885 || Avg execution time per cycle is: 0.000575862
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 39
Goal Reached!  Total distance traveled is: 22.2123 || Avg execution time per cycle is: 0.000595668
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 40
Goal Reached!  Total distance traveled is: 21.9536 || Avg execution time per cycle is: 0.000583333
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 41
Collision occured!  ||  Avg execution time per cycle is: 0.000692913
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 42
Goal Reached!  Total distance traveled is: 22.031 || Avg execution time per cycle is: 0.000554622
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 43
Goal Reached!  Total distance traveled is: 21.868 || Avg execution time per cycle is: 0.000606335
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 44
Collision occured!  ||  Avg execution time per cycle is: 0.000777778
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 45
Goal Reached!  Total distance traveled is: 22.0614 || Avg execution time per cycle is: 0.000592
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 46
Goal Reached!  Total distance traveled is: 21.7652 || Avg execution time per cycle is: 0.000561086
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 47
Collision occured!  ||  Avg execution time per cycle is: 0.000758621
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 48
